year,state,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population
2007,AK,02,18155,68524,171028,18401,63544,150761,516,6062,9279,593,5709,7433,4298,31278,44022,5643,29528,45526,680300
2007,AL,01,214895,429219,999001,289418,406510,1001590,42515,205294,331227,70271,201195,393365,2131,13047,28236,2840,12734,29352,4672840
2007,AR,05,155676,309334,684762,202853,292172,684155,14048,81089,120179,22772,79172,136173,1516,10713,19975,1952,10517,21592,2848650
2007,AZ,04,342939,763173,1559399,412116,724874,1551904,7068,54266,83676,8708,50583,74236,13531,97160,149471,18605,95047,160925,6167681
2007,CA,06,1368438,4106272,8482804,1799180,3895893,8179749,91368,443349,766404,128391,424153,785704,238659,794155,1743936,321200,755231,1925425,36250311
2007,CO,08,204763,601866,1372667,262682,567969,1336539,6020,41499,69397,7904,39272,60654,5581,35921,69721,8009,36918,76486,4803868
2007,CT,09,184032,384852,882990,259990,364325,903124,11459,69624,107289,17916,66375,121977,3751,22662,48994,4392,22717,50801,3527270
2007,DC,11,9840,16996,87779,11404,17337,85290,15918,43211,86860,27460,43722,104323,638,1972,8241,972,2213,10228,574404
2007,DE,10,44411,79570,190926,57393,76572,196234,6183,33253,51424,8861,32601,60293,1056,4938,10590,1301,4845,11298,871749
2007,FL,12,1236774,1702031,4311847,1539982,1608443,4351908,95323,532194,831464,137612,516176,916255,19033,81551,179038,24452,80118,203641,18367842
2007,GA,13,309922,843422,1887409,415670,795379,1850170,71856,496915,787662,119495,486741,929256,8126,54734,112370,9918,51858,119085,9349988
2007,HI,15,21547,27835,124415,22673,25727,101412,659,6161,12287,474,5660,7581,56449,137945,271192,77772,130171,285715,1315675
2007,IA,19,182817,384063,831384,252230,365257,821781,1824,22412,25496,2487,20772,21839,1221,11085,20887,1604,11245,20808,2999212
2007,ID,16,79070,223734,420160,94005,212579,411701,179,3487,3991,147,3275,2549,1298,8721,14338,1662,8660,15549,1505105
2007,IL,17,550365,1375517,3060746,769224,1303687,3018804,67661,339516,509030,107112,329602,598236,21200,92738,211516,26822,90230,223860,12695866
2007,IN,18,313495,786421,1679719,433101,746536,1678050,18696,115583,160113,28421,111728,177792,2693,20104,41321,3502,20049,42275,6379599
2007,KS,20,146047,354121,732171,198044,335368,726908,5175,36376,51565,7702,33991,49003,2427,17577,32621,3117,17344,34228,2783785
2007,KY,21,219067,510377,1160756,298301,484343,1173779,10611,61251,99749,16778,58164,100508,1382,9345,19924,1907,9532,20898,4256672
2007,LA,22,171340,365789,876348,229381,349103,869139,45999,245373,380180,71673,239472,428699,2979,15303,33145,3624,14782,33252,4375581
2007,MA,25,328586,693044,1663586,473076,663190,1730547,13554,88892,140473,21256,85313,154505,10765,53066,117940,12946,53898,126922,6431559
2007,MD,24,208478,458077,1094298,283571,433766,1100701,54588,273891,475488,84918,266400,568919,12257,48389,107833,14741,47067,120026,5653408
2007,ME,23,84428,157582,386555,111719,148440,397104,274,4595,4747,290,4169,3264,534,3791,6737,759,4164,7888,1327040
2007,MI,26,489019,1095666,2449589,654782,1039425,2442263,50179,265928,393655,77734,256315,448617,8831,54941,102441,10693,53504,107702,10001284
2007,MN,27,266789,615252,1418034,354205,586381,1399362,3938,63062,77575,5273,59540,73048,5211,55548,79243,6896,54142,83704,5207203
2007,MO,29,311784,669984,1491666,417869,636809,1505577,22103,128791,187259,36154,124278,213869,3783,21139,43610,4652,21211,47074,5887612
2007,MS,28,114739,234236,536351,156936,221325,528700,34026,193664,287062,54827,189267,333650,996,7094,13111,1432,6856,14078,2928350
2007,MT,30,60051,112427,271351,71533,105718,263359,110,1728,1963,102,1460,1097,1793,15011,19333,2426,14568,20676,964706
2007,NC,37,396051,877124,2043041,535198,828850,2052865,67591,335078,551446,111588,326011,643946,8031,57230,105132,10830,55872,112153,9118037
2007,ND,38,39714,76342,186034,52909,71874,173478,75,2023,2844,71,1795,1730,804,9151,11769,1155,8691,12363,652822
2007,NE,31,97551,229212,483713,132527,218381,475812,2166,18542,24059,3100,17608,23590,993,10825,16273,1385,10308,17395,1783440
2007,NH,33,71145,164671,385693,92697,157101,389840,339,3943,5622,388,3630,4193,710,5081,10349,800,5165,11173,1312540
2007,NJ,34,399037,866170,1970550,570010,817480,1992005,43677,211618,359872,70281,204679,414207,23977,107263,240573,28537,103710,254239,8677885
2007,NM,35,103514,235272,497499,126878,225469,504844,1738,10133,16568,1961,9595,13361,6834,43962,66628,9848,43734,72232,1990070
2007,NV,32,119568,291005,667144,131669,274834,623467,8033,42344,67717,9339,40183,66350,9337,35542,76330,12810,34440,90960,2601072
2007,NY,36,853908,1783514,4222279,1208026,1693512,4290385,119569,543911,938022,206345,528574,1120381,57876,212422,519324,71824,203603,558860,19132335
2007,OH,39,590607,1295629,2905080,821229,1233000,2943634,52871,265567,384438,81624,255996,432886,6592,33875,74844,8190,34745,79661,11500468
2007,OK,40,185457,379645,867926,244637,359392,860642,8662,57124,85554,12898,54438,85422,12741,82219,117846,16966,79010,123770,3634349
2007,OR,41,208089,439422,1036221,265086,417377,1033458,2164,17459,26267,2624,16432,21257,6604,37039,69805,8735,36599,77779,3722417
2007,PA,42,726476,1334180,3174346,1023433,1270508,3206292,49037,255121,386084,82047,245106,428367,10787,56374,119445,13069,56591,126674,12563937
2007,RI,44,56701,116018,277519,84122,111135,288841,1812,15408,22525,2815,14615,22916,1054,6722,12697,1314,7113,13988,1057315
2007,SC,45,196339,387668,931321,254918,366833,931598,45070,212779,348105,72311,207562,403635,2153,12914,26969,2803,12657,28475,4444110
2007,SD,46,46741,93478,208431,61344,88121,201370,125,2721,3590,130,2597,1919,1508,18233,20146,2201,17876,21092,791623
2007,TN,47,300606,642778,1509058,405544,608822,1525230,30119,184312,287193,50033,180199,330331,2883,18337,38161,3557,18236,40328,6175727
