"fips","year","state","b_h_f_18to64","b_h_f_65o","b_h_f_U18","b_h_m_18to64","b_h_m_65o","b_h_m_U18","b_n_f_18to64","b_n_f_65o","b_n_f_U18","b_n_m_18to64","b_n_m_65o","b_n_m_U18","o_h_f_18to64","o_h_f_65o","o_h_f_U18","o_h_m_18to64","o_h_m_65o","o_h_m_U18","o_n_f_18to64","o_n_f_65o","o_n_f_U18","o_n_m_18to64","o_n_m_65o","o_n_m_U18","w_h_f_18to64","w_h_f_65o","w_h_f_U18","w_h_m_18to64","w_h_m_65o","w_h_m_U18","w_n_f_18to64","w_n_f_65o","w_n_f_U18","w_n_m_18to64","w_n_m_65o","w_n_m_U18","pov_tot","pov_u18","pov_18to64","pov_65o"
1,2010,"AL",3766,221,2797,4562,129,3034,428170,50765,197995,359545,28472,202178,2863,56,2356,4628,48,2635,31633,2026,12351,28497,1399,12483,38380,1575,30348,54459,1261,32976,1066200,213745,377254,1040224,150436,396047,"19.0%","27.7%","17.5%","10.7%"
1,2011,"AL",3858,226,2817,4649,121,3080,434518,51210,195145,364485,29052,199546,2859,62,2273,4439,50,2506,32731,2215,12458,29135,1555,12610,39418,1673,31871,54089,1387,33950,1070126,215968,371696,1042991,153777,391096,"19.0%","27.6%","17.7%","10.3%"
1,2012,"AL",4017,243,2842,4723,139,3217,440467,51880,193247,370662,29999,197350,2858,63,2208,4343,55,2381,34248,2451,12810,30512,1740,12880,40046,1776,32178,53210,1513,34077,1071636,219152,368314,1044448,157636,387311,"19.0%","27.5%","17.5%","11.1%"
1,2013,"AL",4124,260,2916,4803,154,3306,445875,52897,191292,377097,31021,194985,2855,70,2194,4188,59,2313,35226,2691,13232,31446,1935,12925,40707,1904,33065,52865,1658,34647,1069458,224128,365557,1043311,162926,383496,"18.7%","27.2%","17.5%","10.6%"
1,2014,"AL",4198,264,2967,4803,162,3403,450796,53960,189303,381458,32105,192775,2837,78,2200,4117,59,2316,36050,2952,13491,32191,2142,13064,41373,2012,33808,52613,1767,35383,1067568,228805,363063,1041484,167506,380664,"19.3%","27.7%","18.1%","11.2%"
1,2015,"AL",4388,272,3026,4888,183,3505,454733,55191,187937,385112,33239,191719,2796,94,2336,4077,65,2422,36891,3219,13786,33123,2366,13168,41941,2170,34922,52600,1883,36553,1065019,232208,361068,1038660,171030,378213,"18.5%","26.6%","29.8%","25.5%"
1,2016,"AL",4480,276,3175,4938,182,3559,457597,56491,186907,386984,34423,190781,2821,98,2471,4169,74,2493,37829,3507,14013,33946,2634,13330,42898,2376,36497,53050,2026,38083,1063262,235811,359104,1035848,174790,375901,"17.1%","24.5%","27.4%","23.5%"
1,2017,"AL",4541,298,3276,5028,192,3562,459989,58777,186124,387213,36427,189696,2843,110,2562,4138,83,2657,38604,3863,14094,34636,2920,13425,43943,2596,37724,53758,2214,39199,1056624,244896,356622,1027518,183950,373887,"16.9%","24.6%","28.3%","23.2%"
1,2018,"AL",4687,325,3374,5048,223,3631,461637,61217,185505,387288,38517,189022,2898,123,2698,4187,89,2853,39104,4210,13990,35110,3220,13405,45391,2868,39031,54862,2382,40611,1052433,252030,354662,1022516,190834,371647,"16.8%","23.8%","16.0%","10.3%"
1,2019,"AL",4736,357,3513,5091,241,3718,462094,64181,184737,387748,40637,188214,2987,137,2828,4130,92,2933,39695,4583,14038,35654,3481,13429,46759,3094,40217,55671,2616,41669,1050764,259037,352376,1020014,197071,369423,"15.5%","21.4%","14.7%","10.5%"
10,2010,"DE",2661,78,2388,2248,59,2376,65226,6531,31545,55767,4298,32401,1182,21,910,1332,20,924,12104,967,4595,11039,754,4613,16130,776,11452,18590,637,11951,201246,42288,63874,190836,31593,66235,"11.8%","18.1%","10.4%","7.7%"
10,2011,"DE",2794,89,2408,2373,66,2369,66636,6855,31487,57031,4510,32313,1222,26,889,1365,21,895,12584,1048,4729,11499,838,4742,16705,840,11859,19074,692,12284,202300,42919,62853,191677,32459,65139,"11.9%","17.5%","11.3%","5.7%"
10,2012,"DE",2915,96,2398,2501,69,2400,67882,7170,31375,58178,4765,32095,1246,27,870,1371,24,887,12958,1170,4773,11883,942,4844,17079,909,12224,19441,739,12703,202972,43942,62118,192521,33613,64418,"12.0%","17.4%","11.3%","7.4%"
10,2013,"DE",2995,90,2408,2584,73,2399,69310,7566,31216,59359,5061,31849,1293,30,880,1365,27,899,13659,1266,4909,12626,1052,5087,17600,966,12496,19811,800,12804,203266,45645,61215,192810,35226,63420,"12.4%","18.0%","11.7%","7.2%"
10,2014,"DE",3141,92,2456,2684,81,2430,70679,7955,31139,60716,5331,31814,1321,39,863,1402,31,922,14141,1371,4975,13188,1154,5209,18039,1056,12734,20229,839,13077,203761,47133,60553,193368,36640,62568,"12.5%","17.7%","11.9%","7.5%"
10,2015,"DE",3239,106,2524,2806,98,2505,71887,8397,31256,62138,5607,31861,1388,41,884,1468,38,914,14707,1492,5177,13798,1242,5355,18363,1145,12996,20730,889,13344,204148,48335,59959,193403,37876,61949,"12.4%","19.4%","19.3%","19.4%"
10,2016,"DE",3342,116,2600,2863,114,2572,72993,8852,31479,63296,5927,32005,1417,54,928,1512,44,923,15071,1627,5288,14065,1353,5414,18818,1228,13414,21049,947,13617,204100,49641,59524,193311,39220,61265,"11.7%","17.4%","20.0%","16.4%"
10,2017,"DE",3423,130,2718,2965,129,2709,73939,9485,31497,64386,6335,32131,1480,53,974,1618,47,970,15197,1799,5358,14244,1498,5544,19364,1310,13869,21627,1039,14124,202709,52415,58886,191668,41795,60507,"13.6%","18.5%","25.7%","15.8%"
10,2018,"DE",3533,137,2837,3066,146,2785,75134,10077,31734,65494,6723,32293,1546,58,1065,1696,52,1037,15384,1972,5504,14740,1594,5706,20031,1390,14257,22157,1123,14491,201954,54725,58088,190631,44025,59800,"12.5%","18.7%","12.2%","6.1%"
10,2019,"DE",3702,159,2985,3164,160,2945,76459,10729,31771,66656,7204,32504,1614,55,1120,1768,63,1122,15836,2108,5585,15295,1668,5755,20607,1504,14532,22610,1222,14822,201386,57003,57416,189937,46027,59175,"11.3%","16.4%","10.8%","7.3%"
11,2010,"DC",3080,231,1525,3110,138,1619,109063,20082,39604,90055,10682,39227,1197,27,540,1343,25,562,11911,711,1922,8647,413,1610,14537,892,5008,16458,472,5064,87608,7352,14018,86573,6459,13517,"19.2%","30.4%","17.4%","13.1%"
11,2011,"DC",3282,238,1684,3293,145,1801,110842,20062,39338,91404,10703,39093,1281,29,624,1447,31,639,12314,749,2060,8855,431,1725,15406,932,5479,17445,487,5433,90060,7607,14608,89733,6642,14388,"18.7%","30.3%","16.8%","12.5%"
11,2012,"DC",3493,233,1722,3315,139,1897,112544,20073,39763,92439,10812,39288,1272,37,735,1448,35,754,12789,790,2174,9165,462,1913,16268,984,5959,18305,504,5849,92469,7969,15440,92621,7034,15043,"18.2%","26.5%","17.1%","11.9%"
11,2013,"DC",3666,252,1820,3427,142,2048,114723,20154,40131,94165,10840,39712,1297,47,863,1561,39,918,13301,824,2320,9610,466,2045,17028,1039,6382,19214,531,6304,93933,8429,16213,94979,7454,15682,"18.9%","27.2%","17.0%","17.5%"
11,2014,"DC",3738,248,1975,3503,149,2141,115913,20263,40195,95279,10865,39831,1329,53,861,1621,42,944,13668,863,2405,10040,480,2178,17738,1134,6799,19668,579,6798,95479,8829,16898,96823,7928,16346,"17.7%","26.0%","16.1%","14.5%"
11,2015,"DC",3872,264,2063,3602,167,2166,116855,20393,40337,95756,11033,40147,1359,68,909,1713,55,960,14508,889,2454,10555,512,2258,18496,1203,7302,20285,623,7231,97963,9296,17617,98687,8354,17062,"17.3%","25.6%","20.3%","28.7%"
11,2016,"DC",3914,278,2152,3666,173,2275,117515,20381,40238,96338,11063,40109,1414,75,943,1694,60,1051,15255,920,2510,11074,512,2307,18887,1275,7556,20828,662,7506,99950,9735,18067,100855,8683,17655,"18.6%","25.8%","18.9%","29.7%"
11,2017,"DC",3950,301,2293,3694,171,2403,117198,20626,40613,95723,11323,40406,1407,80,1012,1650,65,1169,15871,993,2622,11377,537,2475,19314,1321,7944,21053,716,7785,101656,10339,18796,102511,9244,18441,"16.6%","25.6%","25.4%","25.8%"
11,2018,"DC",3996,308,2459,3761,187,2531,116487,20971,40481,95516,11602,40477,1438,87,1033,1668,67,1200,16147,1056,2727,11636,551,2563,19650,1393,8216,21465,794,7964,103082,10984,19306,103611,9759,18974,"16.2%","23.1%","14.1%","16.7%"
11,2019,"DC",4094,335,2527,3794,192,2596,115592,21391,39922,94497,11809,39900,1458,96,1024,1658,72,1264,16464,1149,2817,11740,574,2736,20015,1474,8443,21731,872,8193,104225,11450,19917,104368,10153,19711,"13.5%","18.9%","12.0%","13.3%"
12,2010,"FL",67230,6275,39244,65067,4473,42071,960310,99181,480014,863932,64415,495708,21813,1181,13800,25374,851,14819,212318,17533,71604,178501,13376,72235,1274546,176179,549868,1249286,119363,579108,3594174,1004474,1044138,3517114,806134,1100434,"16.5%","23.5%","16.0%","9.9%"
12,2011,"FL",70069,6485,40670,68245,4617,43654,986870,103114,479006,892242,67484,495732,22799,1302,14125,26526,906,15003,219352,19155,72040,184682,14681,72870,1315074,184362,555148,1290315,124731,585116,3600956,1018523,1027526,3523759,824111,1084357,"17.0%","24.9%","16.3%","10.0%"
12,2012,"FL",73676,6666,42350,71584,4747,45260,1014805,107560,478702,917256,71034,494399,23923,1394,14495,27785,978,15428,226641,20984,72762,190733,16216,73551,1357946,193286,560734,1332374,130694,589969,3610970,1039901,1018174,3531311,848236,1075492,"17.1%","25.4%","16.4%","10.2%"
12,2013,"FL",77021,6963,44112,74919,5033,47028,1035071,112636,480454,936339,74935,496272,24867,1505,14803,28929,1082,15764,232969,22779,74118,195937,17871,74914,1404771,203122,568206,1380569,137107,596873,3604478,1070251,1013451,3524683,881741,1070105,"17.0%","24.5%","16.4%","10.7%"
12,2014,"FL",80778,7346,46008,78631,5360,48824,1057194,117749,482353,958181,78796,498002,25937,1642,15261,29940,1169,16224,240196,25004,75431,202469,19582,76069,1452351,213566,577499,1429597,143931,605656,3619044,1097402,1011466,3536627,910839,1067756,"16.5%","23.8%","15.9%","10.5%"
12,2015,"FL",85080,7756,48341,82877,5702,51281,1077780,123364,485290,980286,83213,501240,27286,1773,15892,31237,1303,16766,248292,27418,77059,209342,21409,77703,1505802,224327,590862,1484572,151623,618729,3645923,1124052,1014565,3559912,940160,1070894,"15.7%","23.1%","25.8%","22.1%"
12,2016,"FL",89747,8244,50855,87806,5946,54038,1099066,129225,490290,1001214,87607,505779,28623,1935,16380,32590,1436,17474,257692,29999,79050,217534,23429,79810,1564922,236054,608026,1545527,159747,635633,3677257,1152772,1020048,3585000,971000,1075482,"14.7%","21.0%","23.2%","20.2%"
12,2017,"FL",94143,8682,53179,92415,6255,56432,1117188,136994,494013,1018758,93472,508931,29832,2119,17138,33850,1606,18059,265868,33093,80680,223799,26014,81529,1621473,249138,623051,1604192,168758,650973,3665806,1207545,1020721,3571355,1025172,1074856,"14.0%","20.3%","21.7%","19.8%"
12,2018,"FL",98312,9119,55453,96586,6559,58694,1131936,144398,495552,1034218,99090,510233,30927,2381,17887,34994,1788,18909,270993,36261,81513,228604,28460,82552,1671067,261881,635387,1655362,177641,663398,3653904,1248220,1018471,3557551,1064982,1071643,"13.6%","19.7%","12.6%","10.6%"
12,2019,"FL",101770,9763,57169,100338,7056,60541,1145308,152172,495264,1048042,104780,510253,32044,2618,18616,36110,2017,19685,275630,39560,82651,232989,30809,83998,1708209,273638,641825,1694078,186061,669824,3646791,1290294,1013752,3548544,1103962,1065895,"12.7%","17.7%","11.7%","10.7%"
