State,sfip,year,pov,lab
Alabama,01,2007,13.1,60.1
Alaska,02,2007,6.5,71.8
Arizona,04,2007,10.2,62.6
Arkansas,05,2007,13.7,60.6
California,06,2007,9.3,64.3
Colorado,08,2007,8.4,69.9
Connecticut,09,2007,5.7,67.8
Delaware,10,2007,7.5,64.8
District of Columbia,11,2007,13,66.9
Florida,12,2007,8.6,61.1
Georgia,13,2007,10.7,65.8
Hawaii,15,2007,5.4,65.4
Idaho,16,2007,8.9,66.6
Illinois,17,2007,8.8,66.6
Indiana,18,2007,8.7,65.8
Iowa,19,2007,7.4,68.9
Kansas,20,2007,7.7,68.8
Kentucky,21,2007,13.2,61.3
Louisiana,22,2007,14.6,61
Maine,23,2007,7.9,65.7
Maryland,24,2007,5.4,68.7
Massachusetts,25,2007,7.3,67.3
Michigan,26,2007,10.1,63.3
Minnesota,27,2007,6.5,71.1
Mississippi,28,2007,16.3,59.8
Missouri,29,2007,9.5,65.3
Montana,30,2007,9.7,65.2
Nebraska,31,2007,8.2,70.7
Nevada,32,2007,7.5,67.5
New Hampshire,33,2007,4.6,69.8
New Jersey,34,2007,6.3,65.9
New Mexico,35,2007,14.2,61.7
New York,36,2007,10.3,63
North Carolina,37,2007,10.6,65
North Dakota,38,2007,7.5,69.6
Ohio,39,2007,9.7,64.9
Oklahoma,40,2007,11.9,63.1
Oregon,41,2007,8.9,64.8
Pennsylvania,42,2007,8.1,63
Rhode Island,44,2007,8.3,65.6
South Carolina,45,2007,11.2,62.6
South Dakota,46,2007,8.9,69.7
Tennessee,47,2007,12,63.3
Texas,48,2007,12.8,65.2
Utah,49,2007,6.9,69.5
Vermont,50,2007,6.4,69.8
Virginia,51,2007,7.1,67
Washington,53,2007,7.8,66.1
West Virginia,54,2007,13,55.1
Wisconsin,55,2007,7.1,68.7
Wyoming,56,2007,5.2,71.1
Puerto Rico,72,2007,41.4,46.1
Alabama,01,2008,12,61.5
Alaska,02,2008,5.7,73.6
Arizona,04,2008,10.3,63.6
Arkansas,05,2008,13,61.4
California,06,2008,10,65.5
Colorado,08,2008,7.8,71
Connecticut,09,2008,6.7,68.8
Delaware,10,2008,6.9,66
District of Columbia,11,2008,13.7,68
Florida,12,2008,9.5,61.8
Georgia,13,2008,11.1,66.8
Hawaii,15,2008,6,67.5
Idaho,16,2008,9.4,66.6
Illinois,17,2008,9,67.7
Indiana,18,2008,9.6,66.8
Iowa,19,2008,7.3,70.2
Kansas,20,2008,7.7,70.5
Kentucky,21,2008,13.1,61.1
Louisiana,22,2008,13.4,62.2
Maine,23,2008,8.6,66
Maryland,24,2008,5.4,70.6
Massachusetts,25,2008,7.1,68.9
Michigan,26,2008,10.5,63.9
Minnesota,27,2008,6.2,72.2
Mississippi,28,2008,17,60.9
Missouri,29,2008,9.7,66.5
Montana,30,2008,9.7,66.2
Nebraska,31,2008,6.8,72.2
Nevada,32,2008,7.9,69.1
New Hampshire,33,2008,5,71.1
New Jersey,34,2008,6.2,68
New Mexico,35,2008,12.6,63
New York,36,2008,10.3,64.6
North Carolina,37,2008,10.9,66.3
North Dakota,38,2008,7.9,71
Ohio,39,2008,9.8,66
Oklahoma,40,2008,11.8,63.9
Oregon,41,2008,9.6,65.3
Pennsylvania,42,2008,8.5,64
Rhode Island,44,2008,7.7,66.7
South Carolina,45,2008,11.6,62.9
South Dakota,46,2008,8.2,70.6
Tennessee,47,2008,11.6,64.3
Texas,48,2008,12.4,66.6
Utah,49,2008,6.6,70
