state,sfip,year,m_gdp
Alabama,01,2007,189002.5
Alabama,01,2021,204884.6
Alabama,01,2020,196906.1
Alabama,01,2019,203383.9
Alabama,01,2018,200800.9
Alabama,01,2017,197566.6
Alabama,01,2016,194283.8
Alabama,01,2015,191335.2
Alabama,01,2014,189886.3
Alabama,01,2013,191369.8
Alabama,01,2012,189245.5
Alabama,01,2011,187605.8
Alabama,01,2010,184702.4
Alabama,01,2009,180707.2
Alabama,01,2008,186946.7
Alaska,02,2021,50300.3
Alaska,02,2020,50161
Alaska,02,2019,53336.5
Alaska,02,2018,53249.6
Alaska,02,2017,54129.5
Alaska,02,2016,54246.6
Alaska,02,2015,54740.8
Alaska,02,2014,54188.2
Alaska,02,2013,55354.3
Alaska,02,2012,58283.6
Alaska,02,2011,55280.3
Alaska,02,2010,54601.5
Alaska,02,2009,56215.1
Alaska,02,2008,51252.1
Alaska,02,2007,51721
Arizona,04,2007,283250.7
Arizona,04,2021,337424.7
Arizona,04,2020,320550.6
Arizona,04,2019,323894.3
Arizona,04,2018,313618.7
Arizona,04,2017,302455.4
Arizona,04,2016,291275.2
Arizona,04,2015,282577
Arizona,04,2014,276948.9
Arizona,04,2013,273481.9
Arizona,04,2012,271440
Arizona,04,2011,266101.5
Arizona,04,2010,260307.1
Arizona,04,2009,257498.5
Arizona,04,2008,280810.1
Arkansas,05,2021,120710.5
Arkansas,05,2020,114943.5
Arkansas,05,2019,116790.9
Arkansas,05,2018,115937.6
Arkansas,05,2017,113885.2
Arkansas,05,2016,112798.1
Arkansas,05,2015,112351
Arkansas,05,2014,111734.5
Arkansas,05,2013,110752.4
Arkansas,05,2012,108492.1
Arkansas,05,2011,107932.5
Arkansas,05,2010,105662
Arkansas,05,2009,102996.6
Arkansas,05,2008,106536.5
Arkansas,05,2007,107606.1
California,06,2007,2041192.2
California,06,2021,2871424.2
California,06,2020,2663665.9
California,06,2019,2739343.4
California,06,2018,2643576.3
California,06,2017,2541769.3
California,06,2016,2427894.6
California,06,2015,2357452.9
California,06,2014,2256054.7
California,06,2013,2179229
California,06,2012,2113096.4
California,06,2011,2063827.5
California,06,2010,2036015
California,06,2009,1995439.7
California,06,2008,2061638.8
Colorado,08,2021,365918.3
Colorado,08,2020,346011.3
Colorado,08,2019,356773.6
Colorado,08,2018,342535.9
Colorado,08,2017,329960.6
Colorado,08,2016,318953.4
Colorado,08,2015,312409.7
Colorado,08,2014,298655.3
Colorado,08,2013,286259.1
Colorado,08,2012,276823.1
Colorado,08,2011,271700.6
Colorado,08,2010,267858.9
Colorado,08,2009,264966.3
Colorado,08,2008,270981.4
Colorado,08,2007,266887.5
Connecticut,09,2007,257953
Connecticut,09,2021,245782.6
Connecticut,09,2020,235888.6
Connecticut,09,2019,251495.1
Connecticut,09,2018,249998.1
Connecticut,09,2017,247358.5
Connecticut,09,2016,243286.7
Connecticut,09,2015,242706.5
Connecticut,09,2014,235780.9
Connecticut,09,2013,236050.6
Connecticut,09,2012,240911.9
Connecticut,09,2011,238542.4
Connecticut,09,2010,244354.7
Connecticut,09,2009,244894.7
Connecticut,09,2008,257756
Delaware,10,2021,64338
Delaware,10,2020,62056.2
Delaware,10,2019,64262.4
Delaware,10,2018,61735.1
Delaware,10,2017,60801.2
Delaware,10,2016,63001.3
Delaware,10,2015,66793.5
Delaware,10,2014,64940.1
Delaware,10,2013,60235.8
Delaware,10,2012,62354.6
Delaware,10,2011,62919.3
Delaware,10,2010,60577.2
Delaware,10,2009,61517.7
Delaware,10,2008,58655.7
Delaware,10,2007,60477.9
District of Columbia,11,2007,102738.7
District of Columbia,11,2021,125795.8
District of Columbia,11,2020,122342.1
District of Columbia,11,2019,124990.3
District of Columbia,11,2018,123836.1
District of Columbia,11,2017,120898.9
District of Columbia,11,2016,119644.3
District of Columbia,11,2015,116808.4
District of Columbia,11,2014,114553.6
District of Columbia,11,2013,112332.4
District of Columbia,11,2012,112157
District of Columbia,11,2011,111646.5
District of Columbia,11,2010,109986.5
District of Columbia,11,2009,105893.9
District of Columbia,11,2008,106768.9
Florida,12,2021,1008694
Florida,12,2020,944000.8
Florida,12,2019,971619.2
Florida,12,2018,943463.4
Florida,12,2017,912966.2
Florida,12,2016,881539.2
Florida,12,2015,852242.4
Florida,12,2014,817233.5
Florida,12,2013,794842.1
Florida,12,2012,778545
Florida,12,2011,772021.3
Florida,12,2010,775039.5
Florida,12,2009,769061.1
Florida,12,2008,816070.2
Florida,12,2007,850048.6
