state,year,state_abbr,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population,m_gdp,rpcgdp,rpcpi,pov,lab,state_area,density,refundable_eitc,eitc,ca_model,nc_model
Alaska,2007,AK,02,0.026686755843010435,0.10072615022784066,0.25140085256504485,0.027048361017198295,0.09340585036013524,0.22160958400705572,7.584889019550199e-4,0.008910774658239012,0.013639570777598118,8.716742613552844e-4,0.00839188593267676,0.01092606203145671,0.006317800970160223,0.04597677495222696,0.06470968690283699,0.008294869910333676,0.04340438042040276,0.06692047626047332,680300,51721,76026.75290313097,43906,6.5,71.8,589757,1.153525943736149,0,0,1,0
Alabama,2007,AL,01,0.045988092894257024,0.09185399029284118,0.21378883077528868,0.06193621009921162,0.08699420480906686,0.21434288355689474,0.009098321363453489,0.04393345374547385,0.07088344561337431,0.015038178067299544,0.043056257008585785,0.08418114037715822,4.5603958192448276e-4,0.0027920921752082246,0.006042577961154244,6.077674390734543e-4,0.0027251093553385093,0.006281404884395785,4672840,189002.5,40447.03007164808,32739,13.1,60.1,51609,90.54312232362572,0,0,1,0
Arkansas,2007,AR,05,0.05464904428413459,0.10858968283221877,0.24038123321573376,0.07121022238604251,0.10256507468449967,0.24016814982535586,0.0049314587611675705,0.028465764484931457,0.042188053990486724,0.007993962052200165,0.027792814140031243,0.04780264335737981,5.321819107296439e-4,0.003760728766257701,0.007012093447773507,6.852368665859267e-4,0.003691924244817721,0.007579730749653344,2848650,107606.1,37774.41946185035,31303,13.7,60.6,53104,53.64285176257909,0,0,1,0
Arizona,2007,AZ,04,0.055602583856071676,0.12373743064856954,0.2528339257494024,0.06681863085979965,0.11752780339968945,0.25161872022888343,0.0011459736649804034,0.00879844466664213,0.013566849517671228,0.0014118758736063036,0.008201299645685308,0.012036290463141657,0.0021938553566567404,0.015753084506153935,0.024234554283854823,0.0030165308484663847,0.01541049220930849,0.026091654221416447,6167681,283250.7,45924.99190538551,35872,10.2,62.6,113909,54.145686469023516,0,0,1,0
California,2007,CA,06,0.03774968992679815,0.11327549713987281,0.23400637859355192,0.049632125914726634,0.1074719883092865,0.22564631238611993,0.002520474927787516,0.01223021231459228,0.021141997926583306,0.003541790303536982,0.011700672030096514,0.02167440715198278,0.00658364006863279,0.021907536186379202,0.04810816657545366,0.008860613637218174,0.020833779881226398,0.053114716726154435,36250311,2041192.2,56308.26725872779,43385,9.3,64.3,158693,228.43043486480184,1,1,1,0
Colorado,2007,CO,08,0.04262461000177357,0.12528778892342587,0.2857420312131807,0.05468135261002176,0.11823160003563794,0.27822142490176666,0.0012531568311202556,0.008638663676853736,0.014446067210839266,0.0016453407962083888,0.008175078915573867,0.012626075487502986,0.0011617721386182967,0.007477516034995133,0.01451351286088627,0.0016671981827976955,0.007685057124800265,0.01592175305399732,4803868,266887.5,55556.792984320135,42074,8.4,69.9,104247,46.081594674187265,1,1,0,1
Connecticut,2007,CT,09,0.05217406095932548,0.10910761013475011,0.2503324100508325,0.07370856214579548,0.1032880953258469,0.2560405072478149,0.003248688078882535,0.019738778148539804,0.03041700805438767,0.005079282277795576,0.018817669188919476,0.034581134985413646,0.001063428657290199,0.006424798782060914,0.013890062286130633,0.0012451556019244345,0.006440391577622354,0.014402356496667395,3527270,257953,73131.0616992745,57684,5.7,67.8,5009,704.1864643641445,1,1,0,1
Delaware,2007,DE,10,0.050944710002535136,0.09127627333097027,0.2190148769886745,0.06583661122639659,0.08783721002260972,0.2251037856080133,0.007092637903800291,0.038145154167082494,0.058989456827596015,0.010164623073843504,0.03739723246026092,0.06916325685489745,0.0012113578564472113,0.005664474521909403,0.012147992139939364,0.0014924020560964223,0.005557792437960927,0.01296015252096647,871749,60477.9,69375.35919169393,41733,7.5,64.8,2057,423.7963052989791,0,1,1,0
Florida,2007,FL,12,0.06733365846679212,0.09266363462839021,0.23474978715518133,0.08384120464450859,0.08756842529459911,0.23693082725776932,0.005189667898929009,0.028974225714702904,0.045267375448895954,0.007492006954328113,0.028102158108720666,0.04988364991380043,0.00103621318171182,0.00443987921934433,0.00974736172055487,0.00133123967420887,0.004361862433267882,0.011086822284294475,18367842,850048.6,46279.17639970988,39594,8.6,61.1,58560,313.65850409836065,0,0,1,0
Georgia,2007,GA,13,0.033146780509237014,0.09020567726931843,0.20186218420815086,0.044456741548759206,0.08506738190466127,0.19787939834789092,0.0076851435531254154,0.053146057513656704,0.08424203325180739,0.012780230306177934,0.052057927774880566,0.09938579600316065,8.69092024503133e-4,0.005853911256356693,0.012018197242606088,0.00106075002449201,0.005546317278695973,0.012736379982519764,9349988,455904,48759.84867574162,35680,10.7,65.8,58876,158.80813913988723,0,0,1,0
Hawaii,2007,HI,15,0.016377144811598607,0.0211564406103331,0.09456362703555209,0.01723297926919642,0.019554221217245902,0.0770798259448572,5.008835768711878e-4,0.0046827674007638665,0.00933893248712638,3.602713436068938e-4,0.004301974271761644,0.005762061299333042,0.042904972732627736,0.10484732171698938,0.20612385277519144,0.059111862732057686,0.09893856765538601,0.2171622931195014,1315675,70080.4,53265.738119216374,40490,5.4,65.4,6450,203.98062015503876,0,1,1,0
Iowa,2007,IA,19,0.060955010849516475,0.12805463568430642,0.2772008114131312,0.08409875660673537,0.12178432201524934,0.27399897039622406,6.081597432925715e-4,0.0074726294773427154,0.008500899569620288,8.292178078775359e-4,0.0069258191818384295,0.007281579294828108,4.0710693342117864e-4,0.003695970808332322,0.0069641625867061085,5.348071426761429e-4,0.003749318154235179,0.006937822334666573,2999212,152861.8,50967.32074958356,36680,7.4,68.9,56290,53.2814354236987,1,1,0,1
Idaho,2007,ID,16,0.05253454077954694,0.14865009417947586,0.2791566036921012,0.06245743652436209,0.14123865112400796,0.273536397792845,1.1892857973363985e-4,0.002316781885649174,0.002651642244228808,9.766760458572657e-5,0.0021759279252942486,0.0016935695516259663,8.623983044372319e-4,0.005794280133279738,0.009526245677211888,0.0011042418967447455,0.005753751399404029,0.010330840705465732,1505105,58670.9,38981.267087678265,32707,8.9,66.6,83557,18.012913340593848,0,0,1,0
Illinois,2007,IL,17,0.04334993768837825,0.1083436923483597,0.24108209711728212,0.06058854118340568,0.10268594517301931,0.237778502073037,0.005329372568992143,0.026742248224737093,0.04009415348271634,0.008436762013713755,0.02596136411647697,0.04712053514112389,0.0016698348895616889,0.007304582452272259,0.016660226250025008,0.002112656198482246,0.007107037834205244,0.017632511244211304,12695866,712619.8,56130.06627511664,42513,8.8,66.6,56400,225.10400709219857,1,1,0,1
Indiana,2007,IN,18,0.04914023593018934,0.12327122754894156,0.26329538894215765,0.06788843624810902,0.11701926719845558,0.2630337737528644,0.002930591719009298,0.018117596419461476,0.025097658959442434,0.004454982201859396,0.017513326464563054,0.027868836270116663,4.221268452766389e-4,0.003151295245986464,0.006477052868056441,5.489373234900814e-4,0.0031426740144639186,0.006626592047556594,6379599,304085.7,47665.33131627866,34055,8.7,65.8,36291,175.7901132512193,1,1,0,1
